date,ccode,id,primary_id,name,match_id,match_league_id,match_time,home_id,home_score,home_name,home_long_name,home_pen_score,away_id,away_score,away_name,away_long_name,away_pen_score,match_eliminated_team_id,match_status_id,match_tournament_stage,match_status_finished,match_status_started,match_status_cancelled,match_status_score_str,match_status_start_date_str,match_status_start_date_str_short,short,long,match_status_start_time_str,match_status_aggregated_str,match_status_awarded,match_time_ts,match_tv,internal_rank,live_rank,simple_league,parent_league_id,is_group,group_name,parent_league_name
2021-12-05,GER,54,54,1. Bundesliga,3624461,54,05.12.2021 15:30,10269,2,VfB Stuttgart,VfB Stuttgart,,8177,2,Hertha BSC,Hertha BSC,,,6,14,TRUE,TRUE,FALSE,2 - 2,"Dec 5, 2021",5. Dec.,FT,Full-Time,,,,1638693000000,,20,100,FALSE,,,,
2021-12-05,GER,54,54,1. Bundesliga,3624462,54,05.12.2021 17:30,9788,0,M'gladbach,Borussia M'Gladbach,,8358,6,Freiburg,Freiburg,,,6,14,TRUE,TRUE,FALSE,0 - 6,"Dec 5, 2021",5. Dec.,FT,Full-Time,,,,1638700200000,,20,100,FALSE,,,,
2021-12-10,GER,54,54,1. Bundesliga,3624468,54,10.12.2021 20:30,8722,0,Köln,1. FC Köln,,8406,2,Augsburg,Augsburg,,,6,15,TRUE,TRUE,FALSE,0 - 2,"Dec 10, 2021",10. Dec.,FT,Full-Time,,,,1639143000000,,20,100,FALSE,,,,
2021-12-11,GER,54,54,1. Bundesliga,3624474,54,11.12.2021 15:30,9823,2,Bayern München,Bayern München,,9905,1,Mainz,Mainz 05,,,6,15,TRUE,TRUE,FALSE,2 - 1,"Dec 11, 2021",11. Dec.,FT,Full-Time,,,,1639211400000,,20,100,FALSE,,,,
2021-12-11,GER,54,54,1. Bundesliga,3624467,54,11.12.2021 15:30,9911,1,Bochum,Bochum,,9789,1,Dortmund,Borussia Dortmund,,,6,15,TRUE,TRUE,FALSE,1 - 1,"Dec 11, 2021",11. Dec.,FT,Full-Time,,,,1639211400000,,20,100,FALSE,,,,
2021-12-11,GER,54,54,1. Bundesliga,3624470,54,11.12.2021 15:30,8358,1,Freiburg,Freiburg,,8226,2,Hoffenheim,TSG Hoffenheim,,,6,15,TRUE,TRUE,FALSE,1 - 2,"Dec 11, 2021",11. Dec.,FT,Full-Time,,,,1639211400000,,20,100,FALSE,,,,
2021-12-11,GER,54,54,1. Bundesliga,3624469,54,11.12.2021 15:30,8177,2,Hertha BSC,Hertha BSC,,9912,0,Arminia Bielefeld,Arminia Bielefeld,,,6,15,TRUE,TRUE,FALSE,2 - 0,"Dec 11, 2021",11. Dec.,FT,Full-Time,,,,1639211400000,,20,100,FALSE,,,,
2021-12-11,GER,54,54,1. Bundesliga,3624473,54,11.12.2021 15:30,178475,4,RB Leipzig,RB Leipzig,,9788,1,M'gladbach,Borussia M'Gladbach,,,6,15,TRUE,TRUE,FALSE,4 - 1,"Dec 11, 2021",11. Dec.,FT,Full-Time,,,,1639211400000,,20,100,FALSE,,,,
2021-12-11,GER,54,54,1. Bundesliga,3624472,54,11.12.2021 18:30,8721,0,Wolfsburg,Wolfsburg,,10269,2,VfB Stuttgart,VfB Stuttgart,,,6,15,TRUE,TRUE,FALSE,0 - 2,"Dec 11, 2021",11. Dec.,FT,Full-Time,,,,1639222200000,,20,100,FALSE,,,,
2021-12-12,GER,54,54,1. Bundesliga,3624466,54,12.12.2021 15:30,8357,1,Greuther Fürth,Greuther Fürth,,8149,0,Union Berlin,Union Berlin,,,6,15,TRUE,TRUE,FALSE,1 - 0,"Dec 12, 2021",12. Dec.,FT,Full-Time,,,,1639297800000,,20,100,FALSE,,,,
