date,is_group,group_name,ccode,id,primary_id,name,match_id,match_league_id,match_time,home_id,home_score,home_name,home_long_name,away_id,away_score,away_name,away_long_name,match_eliminated_team_id,match_status_id,match_tournament_stage,match_status_finished,match_status_started,match_status_cancelled,match_status_score_str,match_status_start_date_str,match_status_start_date_str_short,short,long,match_status_start_time_str,match_time_ts,parent_league_id,parent_league_name,internal_rank,live_rank,simple_league,match_tv,home_pen_score,away_pen_score,match_status_awarded,match_status_aggregated_str,matches
2018-02-26,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-03-03,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-03-04,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-03-09,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-03-10,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-03-11,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-03-14,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-03-17,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-03-18,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-03-31,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-04-03,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-04-04,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-04-07,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-04-08,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-04-14,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-04-15,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-04-17,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-04-18,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-04-21,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-04-22,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-04-23,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-04-28,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-04-29,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-05-05,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-05-06,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-05-12,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-05-13,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-05-19,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-05-20,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-08-18,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-08-19,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-08-20,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-08-25,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-08-26,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-08-27,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-08-31,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-09-01,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-09-02,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
2018-09-15,,,ITA,55,55,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100,FALSE,,,,,,
