"player_name","player_dob","player_url","tm_surname","tm_yob"
"Antonis Aidonis",2001-05-22,"https://www.transfermarkt.com/antonis-aidonis/profil/spieler/405674","Aidonis",2001
"Antoñito",1987-12-24,"https://www.transfermarkt.com/antonito/profil/spieler/62144","Antoñito",1987
"Antony Evans",1998-09-23,"https://www.transfermarkt.com/antony-evans/profil/spieler/374283","Evans",1998
"Antwoine Hackford",2004-03-20,"https://www.transfermarkt.com/antwoine-hackford/profil/spieler/670859","Hackford",2004
"Anuar",1995-01-15,"https://www.transfermarkt.com/anuar/profil/spieler/327126","Anuar",1995
"Anwar El Ghazi",1995-05-03,"https://www.transfermarkt.com/anwar-el-ghazi/profil/spieler/183720","Ghazi",1995
"Arbër Zeneli",1995-02-25,"https://www.transfermarkt.com/arber-zeneli/profil/spieler/222876","Zeneli",1995
"Archie Davies",1998-10-07,"https://www.transfermarkt.com/archie-davies/profil/spieler/386201","Davies",1998
"Archie Mair",2001-02-10,"https://www.transfermarkt.com/archie-mair/profil/spieler/447063","Mair",2001
"Arda Turan",1987-01-30,"https://www.transfermarkt.com/arda-turan/profil/spieler/21369","Turan",1987
"Ardian Ismajli",1996-09-30,"https://www.transfermarkt.com/ardian-ismajli/profil/spieler/435228","Ismajli",1996
"Arial Mendy",1994-11-07,"https://www.transfermarkt.com/arial-mendy/profil/spieler/422715","Mendy",1994
"Aridai Cabrera",1988-09-26,"https://www.transfermarkt.com/aridai-cabrera/profil/spieler/76032","Cabrera",1988
"Aridane Hernández",1989-03-23,"https://www.transfermarkt.com/aridane-hernandez/profil/spieler/82503","Hernández",1989
"Arijanet Muric",1998-11-07,"https://www.transfermarkt.com/arijanet-muric/profil/spieler/371021","Muric",1998
"Aristidi Kolaj",1999-04-09,"https://www.transfermarkt.com/aristidi-kolaj/profil/spieler/396067","Kolaj",1999
"Aristóteles Romero",1995-10-18,"https://www.transfermarkt.com/aristoteles-romero/profil/spieler/309929","Romero",1995
"Aritz Aduriz",1981-02-11,"https://www.transfermarkt.com/aritz-aduriz/profil/spieler/29124","Aduriz",1981
"Aritz Arambarri",1998-01-31,"https://www.transfermarkt.com/aritz-arambarri/profil/spieler/434602","Arambarri",1998
"Aritz Castro",1998-05-20,"https://www.transfermarkt.com/aritz-castro/profil/spieler/582718","Castro",1998
"Aritz Elustondo",1994-03-28,"https://www.transfermarkt.com/aritz-elustondo/profil/spieler/229804","Elustondo",1994
"Arjan Raikhy",2002-10-20,"https://www.transfermarkt.com/arjan-raikhy/profil/spieler/698637","Raikhy",2002
"Arjen Robben",1984-01-23,"https://www.transfermarkt.com/arjen-robben/profil/spieler/4360","Robben",1984
"Arkadiusz Milik",1994-02-28,"https://www.transfermarkt.com/arkadiusz-milik/profil/spieler/191891","Milik",1994
"Arkadiusz Reca",1995-06-17,"https://www.transfermarkt.com/arkadiusz-reca/profil/spieler/268178","Reca",1995
"Arlind Ajeti",1993-09-25,"https://www.transfermarkt.com/arlind-ajeti/profil/spieler/159288","Ajeti",1993
"Armand Laurienté",1998-12-04,"https://www.transfermarkt.com/armand-lauriente/profil/spieler/579930","Laurienté",1998
"Armando Anastasio",1996-07-24,"https://www.transfermarkt.com/armando-anastasio/profil/spieler/286275","Anastasio",1996
"Armando Broja",2001-09-10,"https://www.transfermarkt.com/armando-broja/profil/spieler/571743","Broja",2001
"Armando Izzo",1992-03-02,"https://www.transfermarkt.com/armando-izzo/profil/spieler/32113","Izzo",1992
"Armando Sadiku",1991-05-27,"https://www.transfermarkt.com/armando-sadiku/profil/spieler/140082","Sadiku",1991
"Armel Bella Kotchap",2001-12-11,"https://www.transfermarkt.com/armel-bella-kotchap/profil/spieler/467563","Kotchap",2001
"Armindo Sieb",2003-02-17,"https://www.transfermarkt.com/armindo-sieb/profil/spieler/569033","Sieb",2003
"Arnau Fàbrega",2000-06-28,"https://www.transfermarkt.com/arnau-fabrega/profil/spieler/575472","Fàbrega",2000
"Arnau Puigmal",2001-01-10,"https://www.transfermarkt.com/arnau-puigmal/profil/spieler/536030","Puigmal",2001
"Arnau Tenas",2001-05-30,"https://www.transfermarkt.com/arnau-tenas/profil/spieler/466783","Tenas",2001
"Arnaud Kalimuendo",2002-01-20,"https://www.transfermarkt.com/arnaud-kalimuendo/profil/spieler/585959","Kalimuendo",2002
"Arnaud Lusamba",1997-01-04,"https://www.transfermarkt.com/arnaud-lusamba/profil/spieler/272631","Lusamba",1997
"Arnaud Nordin",1998-06-17,"https://www.transfermarkt.com/arnaud-nordin/profil/spieler/324811","Nordin",1998
"Arnaud Souquet",1992-02-12,"https://www.transfermarkt.com/arnaud-souquet/profil/spieler/111058","Souquet",1992
"Arnaut Danjuma",1997-01-31,"https://www.transfermarkt.com/arnaut-danjuma/profil/spieler/355861","Danjuma",1997
"Arne Maier",1999-01-08,"https://www.transfermarkt.com/arne-maier/profil/spieler/296397","Maier",1999
"Arne Schulz",2003-03-23,"https://www.transfermarkt.com/arne-schulz/profil/spieler/606301","Schulz",2003
