"comp_name","region","country","season_start_year","squad","player_name","player_position","player_dob","player_nationality","player_market_value_euro","player_url","tm_surname","tm_yob"
"MLS","Americas","United States",2018,"Minnesota United FC","Lawrence Olum","Centre-Back",1984-07-10,"Kenya",2e+05,"https://www.transfermarkt.com/lawrence-olum/profil/spieler/72613","Olum","1984"
"MLS","Americas","United States",2020,"Inter Miami CF","Leandro González Pírez","Centre-Back",1992-02-26,"Argentina",2500000,"https://www.transfermarkt.com/leandro-gonzalez-pirez/profil/spieler/113130","Pírez","1992"
"MLS","Americas","United States",2019,"Inter Miami CF","Lee Nguyen","Attacking Midfield",1986-10-07,"United States",525000,"https://www.transfermarkt.com/lee-nguyen/profil/spieler/37604","Nguyen","1986"
"MLS","Americas","United States",2021,"Seattle Sounders FC","Léo Chú","Left Winger",2000-06-04,"Brazil",2500000,"https://www.transfermarkt.com/leo-chu/profil/spieler/468320","Chú","2000"
"MLS","Americas","United States",2021,"Philadelphia Union","Leon Flach","Central Midfield",2001-02-28,"United States",2e+06,"https://www.transfermarkt.com/leon-flach/profil/spieler/391929","Flach","2001"
"MLS","Americas","United States",2021,"Vancouver Whitecaps FC","Leonard Owusu","Central Midfield",1997-06-03,"Ghana",1e+06,"https://www.transfermarkt.com/leonard-owusu/profil/spieler/579628","Owusu","1997"
"MLS","Americas","United States",2018,"FC Cincinnati","Leonardo Bertone","Central Midfield",1994-03-14,"Switzerland",1500000,"https://www.transfermarkt.com/leonardo-bertone/profil/spieler/194975","Bertone","1994"
"MLS","Americas","United States",2021,"Inter Miami CF","Leonardo Campana","Centre-Forward",2000-07-24,"Ecuador",1200000,"https://www.transfermarkt.com/leonardo-campana/profil/spieler/606872","Campana","2000"
"MLS","Americas","United States",2018,"D.C. United","Leonardo Jara","Right-Back",1991-05-20,"Argentina",3e+06,"https://www.transfermarkt.com/leonardo-jara/profil/spieler/116163","Jara","1991"
"MLS","Americas","United States",2021,"New York Red Bulls","Lewis Morgan","Left Winger",1996-09-30,"Scotland",4e+06,"https://www.transfermarkt.com/lewis-morgan/profil/spieler/311351","Morgan","1996"
"MLS","Americas","United States",2021,"Columbus Crew","Liam Fraser","Defensive Midfield",1998-02-13,"Canada",1500000,"https://www.transfermarkt.com/liam-fraser/profil/spieler/377109","Fraser","1998"
"MLS","Americas","United States",2020,"Atlanta United FC","Lisandro López","Centre-Forward",1983-03-02,"Argentina",9e+05,"https://www.transfermarkt.com/lisandro-lopez/profil/spieler/27661","López","1983"
"MLS","Americas","United States",2018,"FC Cincinnati","Logan Gdula","Right-Back",1996-10-13,"United States",NA,"https://www.transfermarkt.com/logan-gdula/profil/spieler/637452","Gdula","1996"
"MLS","Americas","United States",2021,"CF Montréal","Logan Ketterer","Goalkeeper",1993-11-09,"United States",150000,"https://www.transfermarkt.com/logan-ketterer/profil/spieler/493563","Ketterer","1993"
"MLS","Americas","United States",2021,"Sporting Kansas City","Logan Ndenbe","Left-Back",2000-02-09,"Belgium",1500000,"https://www.transfermarkt.com/logan-ndenbe/profil/spieler/481634","Ndenbe","2000"
"MLS","Americas","United States",2021,"Toronto FC","Lorenzo Insigne","Left Winger",1991-06-04,"Italy",2.5e+07,"https://www.transfermarkt.com/lorenzo-insigne/profil/spieler/133964","Insigne","1991"
"MLS","Americas","United States",2020,"New York Red Bulls","Luca Lewis","Goalkeeper",2001-02-22,"United States",75000,"https://www.transfermarkt.com/luca-lewis/profil/spieler/534107","Lewis","2001"
"MLS","Americas","United States",2021,"Toronto FC","Luca Petrasso","Left-Back",2000-06-16,"Canada",125000,"https://www.transfermarkt.com/luca-petrasso/profil/spieler/494826","Petrasso","2000"
"MLS","Americas","United States",2018,"CF Montréal","Luca Ricci","Central Midfield",1998-02-23,"Canada",50000,"https://www.transfermarkt.com/luca-ricci/profil/spieler/565015","Ricci","1998"
"MLS","Americas","United States",2021,"FC Dallas","Lucas Bartlett","Centre-Back",1997-07-26,"United States",50000,"https://www.transfermarkt.com/lucas-bartlett/profil/spieler/972456","Bartlett","1997"
"MLS","Americas","United States",2021,"Vancouver Whitecaps FC","Lucas Cavallini","Centre-Forward",1992-12-28,"Canada",3e+06,"https://www.transfermarkt.com/lucas-cavallini/profil/spieler/221038","Cavallini","1992"
"MLS","Americas","United States",2021,"Colorado Rapids","Lucas Esteves","Left-Back",2000-06-24,"Brazil",8e+05,"https://www.transfermarkt.com/lucas-esteves/profil/spieler/688668","Esteves","2000"
"MLS","Americas","United States",2018,"Portland Timbers","Lucas Melano","Right Winger",1993-03-01,"Argentina",6e+05,"https://www.transfermarkt.com/lucas-melano/profil/spieler/220753","Melano","1993"
"MLS","Americas","United States",2021,"New York Red Bulls","Lucas Monzón","Centre-Back",2001-09-29,"Uruguay",325000,"https://www.transfermarkt.com/lucas-monzon/profil/spieler/796973","Monzón","2001"
"MLS","Americas","United States",2018,"D.C. United","Lucas Rodríguez","Left Winger",1997-04-27,"Argentina",3250000,"https://www.transfermarkt.com/lucas-rodriguez/profil/spieler/380996","Rodríguez","1997"
"MLS","Americas","United States",2018,"Vancouver Whitecaps FC","Lucas Venuto","Right Winger",1995-01-14,"Brazil",8e+05,"https://www.transfermarkt.com/lucas-venuto/profil/spieler/327912","Venuto","1995"
"MLS","Americas","United States",2021,"Columbus Crew","Lucas Zelarayán","Attacking Midfield",1992-06-20,"Armenia",8e+06,"https://www.transfermarkt.com/lucas-zelarayan/profil/spieler/230030","Zelarayán","1992"
"MLS","Americas","United States",2020,"San Jose Earthquakes","Luciano Abecasis","Right-Back",1990-06-04,"Argentina",250000,"https://www.transfermarkt.com/luciano-abecasis/profil/spieler/149435","Abecasis","1990"
"MLS","Americas","United States",2021,"FC Cincinnati","Luciano Acosta","Attacking Midfield",1994-05-31,"Argentina",2500000,"https://www.transfermarkt.com/luciano-acosta/profil/spieler/315169","Acosta","1994"
"MLS","Americas","United States",2021,"Minnesota United FC","Luis Amarilla","Centre-Forward",1995-08-25,"Paraguay",1800000,"https://www.transfermarkt.com/luis-amarilla/profil/spieler/291658","Amarilla","1995"
"MLS","Americas","United States",2019,"Inter Miami CF","Luis Argudo","Right Winger",1995-12-13,"United States",325000,"https://www.transfermarkt.com/luis-argudo/profil/spieler/570561","Argudo","1995"
"MLS","Americas","United States",2019,"Real Salt Lake City","Luis Arriaga","Attacking Midfield",2001-01-26,"United States",150000,"https://www.transfermarkt.com/luis-arriaga/profil/spieler/469856","Arriaga","2001"
"MLS","Americas","United States",2021,"New York City FC","Luis Barraza","Goalkeeper",1996-11-08,"United States",1e+05,"https://www.transfermarkt.com/luis-barraza/profil/spieler/644782","Barraza","1996"
"MLS","Americas","United States",2020,"CF Montréal","Luis Binks","Centre-Back",2001-09-02,"England",9e+05,"https://www.transfermarkt.com/luis-binks/profil/spieler/471004","Binks","2001"
"MLS","Americas","United States",2020,"New England Revolution","Luis Caicedo","Defensive Midfield",1996-05-18,"Colombia",950000,"https://www.transfermarkt.com/luis-caicedo/profil/spieler/426609","Caicedo","1996"
"MLS","Americas","United States",2021,"Columbus Crew","Luis Díaz","Right Midfield",1998-12-06,"Costa Rica",8e+05,"https://www.transfermarkt.com/luis-diaz/profil/spieler/538984","Díaz","1998"
"MLS","Americas","United States",2019,"San Jose Earthquakes","Luís Felipe","Defensive Midfield",1996-01-29,"United States",2e+05,"https://www.transfermarkt.com/luis-felipe/profil/spieler/423441","Felipe","1996"
"MLS","Americas","United States",2021,"Vancouver Whitecaps FC","Luís Martins","Left-Back",1992-06-10,"Portugal",8e+05,"https://www.transfermarkt.com/luis-martins/profil/spieler/187896","Martins","1992"
"MLS","Americas","United States",2019,"Inter Miami CF","Luis Robles","Goalkeeper",1984-05-11,"United States",475000,"https://www.transfermarkt.com/luis-robles/profil/spieler/47289","Robles","1984"
"MLS","Americas","United States",2018,"Seattle Sounders FC","Luis Silva","Centre-Forward",1988-10-12,"United States",5e+05,"https://www.transfermarkt.com/luis-silva/profil/spieler/213001","Silva","1988"
"MLS","Americas","United States",2021,"D.C. United","Luis Zamudio","Goalkeeper",1998-06-24,"United States",1e+05,"https://www.transfermarkt.com/luis-zamudio/profil/spieler/564971","Zamudio","1998"
"MLS","Americas","United States",2021,"Atlanta United FC","Luiz Araújo","Right Winger",1996-06-02,"Brazil",1e+07,"https://www.transfermarkt.com/luiz-araujo/profil/spieler/435485","Araújo","1996"
"MLS","Americas","United States",2019,"Atlanta United FC","Luiz Fernando Nascimento","Left Winger",1997-06-23,"Brazil",2e+05,"https://www.transfermarkt.com/luiz-fernando-nascimento/profil/spieler/424205","Nascimento","1997"
"MLS","Americas","United States",2020,"Chicago Fire FC","Luka Stojanovic","Attacking Midfield",1994-01-04,"Serbia",7e+05,"https://www.transfermarkt.com/luka-stojanovic/profil/spieler/186499","Stojanovic","1994"
"MLS","Americas","United States",2021,"Toronto FC","Lukas MacNaughton","Centre-Back",1995-03-08,"Canada",350000,"https://www.transfermarkt.com/lukas-macnaughton/profil/spieler/657940","MacNaughton","1995"
"MLS","Americas","United States",2021,"Nashville SC","Luke Haakenson","Left Winger",1997-09-10,"United States",8e+05,"https://www.transfermarkt.com/luke-haakenson/profil/spieler/749605","Haakenson","1997"
"MLS","Americas","United States",2019,"Real Salt Lake City","Luke Mulholland","Central Midfield",1988-08-07,"England",3e+05,"https://www.transfermarkt.com/luke-mulholland/profil/spieler/101399","Mulholland","1988"
"MLS","Americas","United States",2020,"Toronto FC","Luke Singh","Centre-Back",2000-09-12,"Trinidad and Tobago",1e+05,"https://www.transfermarkt.com/luke-singh/profil/spieler/628769","Singh","2000"
"MLS","Americas","United States",2021,"New York Red Bulls","Luquinhas","Attacking Midfield",1996-09-28,"Brazil",3e+06,"https://www.transfermarkt.com/luquinhas/profil/spieler/402825","Luquinhas","1996"
"MLS","Americas","United States",2021,"FC Dallas","Maarten Paes","Goalkeeper",1998-05-14,"Netherlands",9e+05,"https://www.transfermarkt.com/maarten-paes/profil/spieler/396077","Paes","1998"
"MLS","Americas","United States",2021,"Atlanta United FC","Machop Chol","Right Winger",1998-11-14,"Southern Sudan",2e+05,"https://www.transfermarkt.com/machop-chol/profil/spieler/637456","Chol","1998"
"MLS","Americas","United States",2021,"New England Revolution","Maciel","Central Midfield",2000-01-18,"Brazil",6e+05,"https://www.transfermarkt.com/maciel/profil/spieler/737380","Maciel","2000"
"MLS","Americas","United States",2019,"San Jose Earthquakes","Magnus Eriksson","Central Midfield",1990-04-08,"Sweden",950000,"https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554","Eriksson","1990"
"MLS","Americas","United States",2021,"Real Salt Lake City","Maikel Chang","Right Midfield",1991-04-18,"Cuba",6e+05,"https://www.transfermarkt.com/maikel-chang/profil/spieler/259271","Chang","1991"
"MLS","Americas","United States",2019,"FC Cincinnati","Maikel van der Werff","Centre-Back",1989-04-22,"Netherlands",6e+05,"https://www.transfermarkt.com/maikel-van-der-werff/profil/spieler/81778","Werff","1989"
"MLS","Americas","United States",2021,"New York City FC","Malte Amundsen","Left-Back",1998-02-11,"Denmark",1200000,"https://www.transfermarkt.com/malte-amundsen/profil/spieler/363466","Amundsen","1998"
"MLS","Americas","United States",2021,"Los Angeles FC","Mamadou Mbacke","Centre-Back",2002-11-21,"Senegal",1e+06,"https://www.transfermarkt.com/mamadou-mbacke/profil/spieler/898751","Mbacke","2002"
"MLS","Americas","United States",2020,"New York Red Bulls","Mandela Egbo","Right-Back",1997-08-17,"England",3e+05,"https://www.transfermarkt.com/mandela-egbo/profil/spieler/258917","Egbo","1997"
"MLS","Americas","United States",2020,"Austin FC","Manny Perez","Right Midfield",1999-02-19,"United States",175000,"https://www.transfermarkt.com/manny-perez/profil/spieler/502442","Perez","1999"
"MLS","Americas","United States",2019,"Atlanta United FC","Manuel Castro","Right Midfield",1995-09-27,"Uruguay",650000,"https://www.transfermarkt.com/manuel-castro/profil/spieler/335984","Castro","1995"
"MLS","Americas","United States",2019,"New York Red Bulls","Marc Rzatkowski","Central Midfield",1990-03-02,"Germany",675000,"https://www.transfermarkt.com/marc-rzatkowski/profil/spieler/53681","Rzatkowski","1990"
"MLS","Americas","United States",2021,"Atlanta United FC","Marcelino Moreno","Attacking Midfield",1995-06-25,"Argentina",8e+06,"https://www.transfermarkt.com/marcelino-moreno/profil/spieler/456617","Moreno","1995"
"MLS","Americas","United States",2018,"Chicago Fire FC","Marcelo","Centre-Back",1989-07-27,"Brazil",6e+05,"https://www.transfermarkt.com/marcelo/profil/spieler/190185","Marcelo","1989"
"MLS","Americas","United States",2021,"Houston Dynamo FC","Marcelo Palomino","Attacking Midfield",2001-05-21,"United States",2e+05,"https://www.transfermarkt.com/marcelo-palomino/profil/spieler/469859","Palomino","2001"
"MLS","Americas","United States",2021,"Real Salt Lake City","Marcelo Silva","Centre-Back",1989-03-21,"Uruguay",3e+05,"https://www.transfermarkt.com/marcelo-silva/profil/spieler/76743","Silva","1989"
"MLS","Americas","United States",2018,"Philadelphia Union","Marco Fabián","Attacking Midfield",1989-07-21,"Mexico",2e+06,"https://www.transfermarkt.com/marco-fabian/profil/spieler/67685","Fabián","1989"
"MLS","Americas","United States",2021,"FC Dallas","Marco Farfán","Left-Back",1998-11-12,"United States",2e+06,"https://www.transfermarkt.com/marco-farfan/profil/spieler/429443","Farfán","1998"
"MLS","Americas","United States",2021,"San Jose Earthquakes","Marcos López","Left-Back",1999-11-20,"Peru",1800000,"https://www.transfermarkt.com/marcos-lopez/profil/spieler/432175","López","1999"
"MLS","Americas","United States",2018,"New York Red Bulls","Marcus Epps","Right Winger",1995-01-06,"United States",3e+05,"https://www.transfermarkt.com/marcus-epps/profil/spieler/482646","Epps","1995"
