"comp_name","region","country","season_start_year","squad","player_name","player_position","player_dob","player_nationality","player_market_value_euro","player_url","tm_surname","tm_yob"
"SÃ©rie A","Americas","Brazil",2019,"Botafogo de Futebol e Regatas","Gabriel Cortez","Attacking Midfield",1995-10-10,"Ecuador",NA,"https://www.transfermarkt.com/gabriel-cortez/profil/spieler/189473","Cortez","1995"
"Eredivisie","Europe","Netherlands",2019,"FC Utrecht","Gabriël Culhaci","Left-Back",1999-12-30,"Netherlands",NA,"https://www.transfermarkt.com/gabriel-culhaci/profil/spieler/422407","Culhaci","1999"
"SÃ©rie A","Americas","Brazil",2021,"Clube Atlético Mineiro","Gabriel Delfim","Goalkeeper",2002-07-10,"Brazil",NA,"https://www.transfermarkt.com/gabriel-delfim/profil/spieler/978121","Delfim","2002"
"SÃ©rie A","Americas","Brazil",2020,"Ceará Sporting Club","Gabriel Dias","Right-Back",1994-05-10,"Brazil",NA,"https://www.transfermarkt.com/gabriel-dias/profil/spieler/336474","Dias","1994"
"Liga MX Clausura","Americas","Mexico",2017,"Puebla FC","Gabriel Esparza","Left Winger",1993-01-30,"Argentina",1e+06,"https://www.transfermarkt.com/gabriel-esparza/profil/spieler/322115","Esparza","1993"
"SÃ©rie A","Americas","Brazil",2020,"São Paulo Futebol Clube","Gabriel Falcão","Defensive Midfield",2001-01-11,"Brazil",NA,"https://www.transfermarkt.com/gabriel-falcao/profil/spieler/813050","Falcão","2001"
"SÃ©rie A","Americas","Brazil",2018,"Club de Regatas Vasco da Gama","Gabriel Félix","Goalkeeper",1995-04-04,"Brazil",NA,"https://www.transfermarkt.com/gabriel-felix/profil/spieler/376870","Félix","1995"
"Liga MX Clausura","Americas","Mexico",2022,"FC Juárez","Gabriel Fernández","Centre-Forward",1994-05-13,"Uruguay",2e+06,"https://www.transfermarkt.com/gabriel-fernandez/profil/spieler/259930","Fernández","1994"
"SÃ©rie A","Americas","Brazil",2018,"Club Athletico Paranaense","Gabriel Fornari","Centre-Back",2001-03-03,"Brazil",NA,"https://www.transfermarkt.com/gabriel-fornari/profil/spieler/674488","Fornari","2001"
"SÃ©rie A","Americas","Brazil",2017,"Sociedade Esportiva Palmeiras","Gabriel Furtado","Defensive Midfield",1999-12-09,"Brazil",NA,"https://www.transfermarkt.com/gabriel-furtado/profil/spieler/520626","Furtado","1999"
"SÃ©rie A","Americas","Brazil",2021,"América Futebol Clube (MG)","Gabriel Gomes","Centre-Back",1999-08-23,"Brazil",NA,"https://www.transfermarkt.com/gabriel-gomes/profil/spieler/969596","Gomes","1999"
"SÃ©rie A","Americas","Brazil",2020,"Grêmio Foot-Ball Porto Alegrense","Gabriel Grando","Goalkeeper",2000-03-29,"Brazil",NA,"https://www.transfermarkt.com/gabriel-grando/profil/spieler/878037","Grando","2000"
"Eredivisie","Europe","Netherlands",2021,"FC Groningen","Gabriel Gudmundsson","Left-Back",1999-04-29,"Sweden",6e+06,"https://www.transfermarkt.com/gabriel-gudmundsson/profil/spieler/362108","Gudmundsson","1999"
"Liga MX Clausura","Americas","Mexico",2019,"FC Juárez","Gabriel Hachen","Central Midfield",1990-10-16,"Argentina",NA,"https://www.transfermarkt.com/gabriel-hachen/profil/spieler/213541","Hachen","1990"
"Liga MX Clausura","Americas","Mexico",2017,"Deportivo Toluca","Gabriel Hauche","Centre-Forward",1986-11-27,"Argentina",1200000,"https://www.transfermarkt.com/gabriel-hauche/profil/spieler/54845","Hauche","1986"
"SÃ©rie A","Americas","Brazil",2021,"Ceará Sporting Club","Gabriel Lacerda","Centre-Back",1999-08-29,"Brazil",NA,"https://www.transfermarkt.com/gabriel-lacerda/profil/spieler/742855","Lacerda","1999"
"SÃ©rie A","Americas","Brazil",2018,"Sociedade Esportiva Palmeiras","Gabriel Leite Borges","Attacking Midfield",1995-03-06,"Brazil",NA,"https://www.transfermarkt.com/gabriel-leite-borges/profil/spieler/394417","Borges","1995"
"SÃ©rie A","Americas","Brazil",2018,"Avaí Futebol Clube (SC)","Gabriel Lima","Centre-Forward",1996-10-27,"Brazil",NA,"https://www.transfermarkt.com/gabriel-lima/profil/spieler/553870","Lima","1996"
"SÃ©rie A","Americas","Brazil",2021,"São Paulo Futebol Clube","Gabriel Maioli","Left Winger",2003-02-02,"Brazil",NA,"https://www.transfermarkt.com/gabriel-maioli/profil/spieler/980853","Maioli","2003"
"Liga MX Clausura","Americas","Mexico",2021,"Deportivo Guadalajara","Gabriel Martínez","Centre-Back",2002-07-24,"Mexico",NA,"https://www.transfermarkt.com/gabriel-martinez/profil/spieler/718074","Martínez","2002"
