Player,Born,Url,player_url
Bruno Vieira,1985,https://fbref.com/en/players/0adcdf35/Bruno-Vieira,https://www.transfermarkt.com/bruno/profil/spieler/55497
Bruno Wavzinkevicz,1997,https://fbref.com/en/players/a0f502ec/Bruno-Wavzinkevicz,https://www.transfermarkt.com/bruno-jesus/profil/spieler/694528
Burá,1995,https://fbref.com/en/players/8e72cba8/Bura,https://www.transfermarkt.com/bura/profil/spieler/595008
Caio,1999,https://fbref.com/en/players/f077e298/Caio,https://www.transfermarkt.com/caio-felipe/profil/spieler/729267
Caio Matheus,2000,https://fbref.com/en/players/51aa0119/Caio-Matheus,https://www.transfermarkt.com/caio/profil/spieler/963727
Caique,1993,https://fbref.com/en/players/416cc950/Caique,https://www.transfermarkt.com/caique-lemes/profil/spieler/371927
Carlos,1999,https://fbref.com/en/players/8d3cd59d/Carlos,https://www.transfermarkt.com/carlos-augusto/profil/spieler/585982
Carlos Enrique Renteria,1995,https://fbref.com/en/players/c5dc1be3/Carlos-Enrique-Renteria,https://www.transfermarkt.com/neneco/profil/spieler/262951
Carlos González Espínola,1993,https://fbref.com/en/players/5c059b5d/Carlos-Gonzalez-Espinola,https://www.transfermarkt.com/carlos-gonzalez/profil/spieler/366620
Casey Pettit,,https://fbref.com/en/players/02f607ba/Casey-Pettit,https://www.transfermarkt.com/casey-pettit/profil/spieler/802233
Cássio,1994,https://fbref.com/en/players/36334180/Cassio,https://www.transfermarkt.com/cassio-scheid/profil/spieler/510635
César Castillo,2000,https://fbref.com/en/players/4b46566d/Cesar-Castillo,https://www.transfermarkt.com/cesar-leyva/profil/spieler/971671
Charles Ondo,2003,https://fbref.com/en/players/4fd96308/Charles-Ondo,https://www.transfermarkt.com/charles-ondo/profil/spieler/854839
Charles Rigon Matos,1996,https://fbref.com/en/players/6ff91a3a/Charles-Rigon-Matos,https://www.transfermarkt.com/schnellsuche/ergebnis/schnellsuche?query=Charles+Rigon+Matos
Charlie Hughes,2003,https://fbref.com/en/players/29c29cef/Charlie-Hughes,https://www.transfermarkt.com/charlie-hughes/profil/spieler/746357
Chico,1995,https://fbref.com/en/players/bc16535e/Chico,https://www.transfermarkt.com/francisco-da-costa/profil/spieler/559602
Chrigor Flore,2000,https://fbref.com/en/players/226f1a53/Chrigor-Flore,https://www.transfermarkt.com/chrigor/profil/spieler/595168
Christian Castillo,1996,https://fbref.com/en/players/d6f74787/Christian-Castillo,https://www.transfermarkt.com/christian-leyva/profil/spieler/853670
Christian Giménez,1981,https://fbref.com/en/players/e97a88da/Christian-Gimenez,https://www.transfermarkt.com/christian-gimenez/profil/spieler/28085
Christian Neiva Afonso,1994,https://fbref.com/en/players/b3ec13e0/Christian-Neiva-Afonso,https://www.transfermarkt.com/kiki/profil/spieler/270055
Claudemir de Souza,1988,https://fbref.com/en/players/1b033987/Claudemir-de-Souza,https://www.transfermarkt.com/claudemir/profil/spieler/68275
Cleiton Schwengber,1997,https://fbref.com/en/players/d24ae824/Cleiton-Schwengber,https://www.transfermarkt.com/cleiton/profil/spieler/468247
